"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2290","Test LogEnricher with emulated PostgreSQL database with pg_stat_statements extension","","Sat Feb 15 15:55:40 UTC 2025","passed","Sat Feb 15 15:55:42 UTC 2025","","com.github.isuhorukov.log.watcher.LogEnrichmentTest","com.github.isuhorukov.log.watcher.LogEnrichmentTest","initLogEnricherWithDbHostWithPgStatStatement"
"","7","missingWatchDir()","","Sat Feb 15 15:55:36 UTC 2025","passed","Sat Feb 15 15:55:36 UTC 2025","","com.github.isuhorukov.log.watcher.ValidateParameterTest","com.github.isuhorukov.log.watcher.ValidateParameterTest","missingWatchDir"
"","1122","positionFileTasks(Path)","","Sat Feb 15 15:55:42 UTC 2025","passed","Sat Feb 15 15:55:43 UTC 2025","","com.github.isuhorukov.log.watcher.LogFilesPositionTest","com.github.isuhorukov.log.watcher.LogFilesPositionTest","positionFileTasks"
"","5","defaultEnrichmentOff()","","Sat Feb 15 15:55:42 UTC 2025","passed","Sat Feb 15 15:55:42 UTC 2025","","com.github.isuhorukov.log.watcher.LogEnrichmentTest","com.github.isuhorukov.log.watcher.LogEnrichmentTest","defaultEnrichmentOff"
"","177","initLogEnricherWithDbHostWoPgStatStatement()","","Sat Feb 15 15:55:42 UTC 2025","passed","Sat Feb 15 15:55:42 UTC 2025","","com.github.isuhorukov.log.watcher.LogEnrichmentTest","com.github.isuhorukov.log.watcher.LogEnrichmentTest","initLogEnricherWithDbHostWoPgStatStatement"
"","6","logWarning()","","Sat Feb 15 15:55:39 UTC 2025","passed","Sat Feb 15 15:55:39 UTC 2025","","com.github.isuhorukov.log.watcher.PostgreSqlJsonTest","com.github.isuhorukov.log.watcher.PostgreSqlJsonTest","logWarning"
"  As a developer/DevOps
  I want to watch PostgreSQL logs in OpenTelemetry
  So that I run postgres_log_parser and it watch for PostgreSQL JSON logs, parse it and transfer log records with enrichment","5110","Watch PostgreSQL logs with Docker container","","Sat Feb 15 15:56:12 UTC 2025","passed","Sat Feb 15 15:56:17 UTC 2025","","PostgreSQL JSON Log Watching","Watch PostgreSQL logs with Docker container",""
"","128","testWatchService(Path)","","Sat Feb 15 15:55:39 UTC 2025","passed","Sat Feb 15 15:55:39 UTC 2025","","com.github.isuhorukov.log.watcher.WatchServiceTest","com.github.isuhorukov.log.watcher.WatchServiceTest","testWatchService"
"","34","testHelpParameter(StdOut)","","Sat Feb 15 15:55:39 UTC 2025","passed","Sat Feb 15 15:55:39 UTC 2025","","com.github.isuhorukov.log.watcher.TestCliArgumentParsing","com.github.isuhorukov.log.watcher.TestCliArgumentParsing","testHelpParameter"
"","6","logDebug()","","Sat Feb 15 15:55:40 UTC 2025","passed","Sat Feb 15 15:55:40 UTC 2025","","com.github.isuhorukov.log.watcher.PostgreSqlJsonTest","com.github.isuhorukov.log.watcher.PostgreSqlJsonTest","logDebug"
"","187","testWatchServiceSkipNonJson(Path)","","Sat Feb 15 15:55:39 UTC 2025","passed","Sat Feb 15 15:55:39 UTC 2025","","com.github.isuhorukov.log.watcher.WatchServiceTest","com.github.isuhorukov.log.watcher.WatchServiceTest","testWatchServiceSkipNonJson"
"","28","initLogEnricherWithDbHostWoConnection()","","Sat Feb 15 15:55:42 UTC 2025","passed","Sat Feb 15 15:55:42 UTC 2025","","com.github.isuhorukov.log.watcher.LogEnrichmentTest","com.github.isuhorukov.log.watcher.LogEnrichmentTest","initLogEnricherWithDbHostWoConnection"
"","6","logBind()","","Sat Feb 15 15:55:40 UTC 2025","passed","Sat Feb 15 15:55:40 UTC 2025","","com.github.isuhorukov.log.watcher.PostgreSqlJsonTest","com.github.isuhorukov.log.watcher.PostgreSqlJsonTest","logBind"
"","9","logWithQueryId()","","Sat Feb 15 15:55:39 UTC 2025","passed","Sat Feb 15 15:55:39 UTC 2025","","com.github.isuhorukov.log.watcher.PostgreSqlJsonTest","com.github.isuhorukov.log.watcher.PostgreSqlJsonTest","logWithQueryId"
"Tests the functionality of watching PostgreSQL logs using a Docker container","17462","testWatchPostgreSqlLogsWithContainer(Path)","","Sat Feb 15 15:55:54 UTC 2025","passed","Sat Feb 15 15:56:12 UTC 2025","","com.github.isuhorukov.log.watcher.PostgreSqlJsonContainerIT","com.github.isuhorukov.log.watcher.PostgreSqlJsonContainerIT","testWatchPostgreSqlLogsWithContainer"
"","10","nonExistingWatchDir()","","Sat Feb 15 15:55:36 UTC 2025","passed","Sat Feb 15 15:55:36 UTC 2025","","com.github.isuhorukov.log.watcher.ValidateParameterTest","com.github.isuhorukov.log.watcher.ValidateParameterTest","nonExistingWatchDir"
"","24","testWatchService()","","Sat Feb 15 15:55:39 UTC 2025","passed","Sat Feb 15 15:55:39 UTC 2025","","com.github.isuhorukov.log.watcher.WatchServiceTest","com.github.isuhorukov.log.watcher.WatchServiceTest","testWatchService"
"","16","savePositionToInvalidPath(Path)","","Sat Feb 15 15:55:43 UTC 2025","passed","Sat Feb 15 15:55:43 UTC 2025","","com.github.isuhorukov.log.watcher.LogFilesPositionTest","com.github.isuhorukov.log.watcher.LogFilesPositionTest","savePositionToInvalidPath"
"","160","testSavePosition(Path)","","Sat Feb 15 15:55:40 UTC 2025","passed","Sat Feb 15 15:55:40 UTC 2025","","com.github.isuhorukov.log.watcher.PostgreSqlJsonTest","com.github.isuhorukov.log.watcher.PostgreSqlJsonTest","testSavePosition"
"","6","logFatal()","","Sat Feb 15 15:55:40 UTC 2025","passed","Sat Feb 15 15:55:40 UTC 2025","","com.github.isuhorukov.log.watcher.PostgreSqlJsonTest","com.github.isuhorukov.log.watcher.PostgreSqlJsonTest","logFatal"
"","6","parseStatement()","","Sat Feb 15 15:55:40 UTC 2025","passed","Sat Feb 15 15:55:40 UTC 2025","","com.github.isuhorukov.log.watcher.PostgreSqlJsonTest","com.github.isuhorukov.log.watcher.PostgreSqlJsonTest","parseStatement"
"","374","testDefaultParameters(StdErr)","","Sat Feb 15 15:55:39 UTC 2025","passed","Sat Feb 15 15:55:39 UTC 2025","","com.github.isuhorukov.log.watcher.TestCliArgumentParsing","com.github.isuhorukov.log.watcher.TestCliArgumentParsing","testDefaultParameters"
"","8","intervalOutOfRange(Path)","","Sat Feb 15 15:55:36 UTC 2025","passed","Sat Feb 15 15:55:36 UTC 2025","","com.github.isuhorukov.log.watcher.ValidateParameterTest","com.github.isuhorukov.log.watcher.ValidateParameterTest","intervalOutOfRange"
"","7","logUnknowSeverity()","","Sat Feb 15 15:55:40 UTC 2025","passed","Sat Feb 15 15:55:40 UTC 2025","","com.github.isuhorukov.log.watcher.PostgreSqlJsonTest","com.github.isuhorukov.log.watcher.PostgreSqlJsonTest","logUnknowSeverity"
"","7","parseLogPlan()","","Sat Feb 15 15:55:39 UTC 2025","passed","Sat Feb 15 15:55:39 UTC 2025","","com.github.isuhorukov.log.watcher.PostgreSqlJsonTest","com.github.isuhorukov.log.watcher.PostgreSqlJsonTest","parseLogPlan"
"","6","logError()","","Sat Feb 15 15:55:40 UTC 2025","passed","Sat Feb 15 15:55:40 UTC 2025","","com.github.isuhorukov.log.watcher.PostgreSqlJsonTest","com.github.isuhorukov.log.watcher.PostgreSqlJsonTest","logError"
"","6","initLogEnricherWoDbHost()","","Sat Feb 15 15:55:40 UTC 2025","passed","Sat Feb 15 15:55:40 UTC 2025","","com.github.isuhorukov.log.watcher.LogEnrichmentTest","com.github.isuhorukov.log.watcher.LogEnrichmentTest","initLogEnricherWoDbHost"
"","7","parseLogLine()","","Sat Feb 15 15:55:39 UTC 2025","passed","Sat Feb 15 15:55:39 UTC 2025","","com.github.isuhorukov.log.watcher.PostgreSqlJsonTest","com.github.isuhorukov.log.watcher.PostgreSqlJsonTest","parseLogLine"
"","14","logParse()","","Sat Feb 15 15:55:40 UTC 2025","passed","Sat Feb 15 15:55:40 UTC 2025","","com.github.isuhorukov.log.watcher.PostgreSqlJsonTest","com.github.isuhorukov.log.watcher.PostgreSqlJsonTest","logParse"
"","15","testNonExistingDir(StdOut)","","Sat Feb 15 15:55:39 UTC 2025","passed","Sat Feb 15 15:55:39 UTC 2025","","com.github.isuhorukov.log.watcher.TestCliArgumentParsing","com.github.isuhorukov.log.watcher.TestCliArgumentParsing","testNonExistingDir"
"","11","initialLogImport(Path)","","Sat Feb 15 15:55:40 UTC 2025","passed","Sat Feb 15 15:55:40 UTC 2025","","com.github.isuhorukov.log.watcher.PostgreSqlJsonTest","com.github.isuhorukov.log.watcher.PostgreSqlJsonTest","initialLogImport"
"","691","nonDirectoryWatchDir(Path)","","Sat Feb 15 15:55:35 UTC 2025","passed","Sat Feb 15 15:55:36 UTC 2025","","com.github.isuhorukov.log.watcher.ValidateParameterTest","com.github.isuhorukov.log.watcher.ValidateParameterTest","nonDirectoryWatchDir"
"","2288","testRegisterWatchEvent()","","Sat Feb 15 15:55:36 UTC 2025","passed","Sat Feb 15 15:55:39 UTC 2025","","com.github.isuhorukov.log.watcher.WatchServiceTest","com.github.isuhorukov.log.watcher.WatchServiceTest","testRegisterWatchEvent"
